gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000167549,2012.789851,2.380440404,0.287081762,8.291855211,1.11E-16,1.90E-14
ENSG00000137076,20054.83848,0.638116675,0.077047491,8.282121361,1.21E-16,2.04E-14
ENSG00000132970,1317.168571,1.081408853,0.130749803,8.270825861,1.33E-16,2.22E-14
ENSG00000133142,3090.517759,1.479872203,0.179407703,8.248654749,1.60E-16,2.64E-14
ENSG00000148120,677.4733929,1.2376382,0.150998128,8.19638107,2.48E-16,4.00E-14
ENSG00000163491,152.3334913,-2.0730507,0.252905503,-8.196937901,2.47E-16,4.00E-14
ENSG00000183722,3035.767685,0.709163541,0.08678374,8.171617677,3.04E-16,4.86E-14
ENSG00000103064,1735.719829,1.375326841,0.168774358,8.148908729,3.67E-16,5.81E-14
ENSG00000179593,68.38007452,8.905502338,1.097265911,8.116084029,4.81E-16,7.54E-14
ENSG00000162704,2647.516411,0.89658929,0.11048887,8.114747552,4.87E-16,7.54E-14
ENSG00000143891,522.0253781,-1.133994926,0.14033118,-8.080847937,6.43E-16,9.87E-14
ENSG00000163110,1307.009577,1.485355782,0.184072233,8.069417962,7.06E-16,1.07E-13
ENSG00000102804,5382.052572,1.150934115,0.142673076,8.066932767,7.21E-16,1.08E-13
ENSG00000127824,250.2561893,-1.693642114,0.210263712,-8.054847416,7.96E-16,1.19E-13
ENSG00000125503,2642.929923,0.679974939,0.084907159,8.008452328,1.16E-15,1.71E-13
ENSG00000138078,1711.694544,-0.721081,0.090143369,-7.999268351,1.25E-15,1.83E-13
ENSG00000101342,53.70313683,4.134268298,0.517096959,7.99515106,1.29E-15,1.87E-13
ENSG00000112576,646.6731835,1.081221924,0.135326425,7.989732402,1.35E-15,1.94E-13
ENSG00000104756,1773.427858,0.750040508,0.093959763,7.982571335,1.43E-15,2.04E-13
ENSG00000105516,103.5550458,-1.633194939,0.205163924,-7.960439185,1.71E-15,2.41E-13
ENSG00000198431,22550.13253,1.478074138,0.186252918,7.935844208,2.09E-15,2.92E-13
ENSG00000118689,5353.974568,1.275401911,0.160755596,7.933794813,2.13E-15,2.94E-13
ENSG00000130066,4094.028151,1.319537506,0.166824338,7.909742185,2.58E-15,3.50E-13
ENSG00000149218,2046.649798,1.973654901,0.249489616,7.910769737,2.56E-15,3.50E-13
ENSG00000138316,788.9968608,-2.41081346,0.305160858,-7.900139863,2.79E-15,3.75E-13
ENSG00000161647,159.5664088,1.746492896,0.222366719,7.854111017,4.03E-15,5.37E-13
ENSG00000162426,171.5640207,1.415104854,0.18088906,7.823053837,5.16E-15,6.82E-13
ENSG00000179820,5333.812694,1.44810989,0.185970615,7.786767245,6.87E-15,9.01E-13
ENSG00000119139,5612.324576,1.9908828,0.256122999,7.773151207,7.66E-15,9.95E-13
ENSG00000136999,446.9713973,-2.602832479,0.336901693,-7.725792226,1.11E-14,1.43E-12
ENSG00000146250,313.8211378,-2.69619858,0.349702257,-7.709983348,1.26E-14,1.61E-12
ENSG00000152332,3008.209143,0.671892541,0.08752836,7.676283896,1.64E-14,2.08E-12
ENSG00000112773,525.9981252,-1.220925221,0.15913664,-7.672181722,1.69E-14,2.13E-12
ENSG00000140545,9643.892434,1.187207434,0.15503337,7.657754177,1.89E-14,2.36E-12
ENSG00000136478,3731.86034,1.506559665,0.197417205,7.631349393,2.32E-14,2.87E-12
ENSG00000049323,20410.086,0.715134131,0.093908076,7.615256953,2.63E-14,3.23E-12
ENSG00000122966,304.3859804,-1.634866793,0.214745503,-7.613043204,2.68E-14,3.26E-12
ENSG00000132356,2379.482174,0.743611882,0.097786921,7.604410452,2.86E-14,3.46E-12
ENSG00000077254,2760.440831,0.807688505,0.106934765,7.553095656,4.25E-14,5.09E-12
ENSG00000168234,600.3276912,0.857603477,0.113631032,7.547264693,4.44E-14,5.29E-12
ENSG00000113456,1042.06035,0.795063851,0.105761142,7.517542244,5.58E-14,6.59E-12
ENSG00000157110,3434.937129,0.814964684,0.108488303,7.512005074,5.82E-14,6.82E-12
ENSG00000126016,404.3984001,-2.498004475,0.332762582,-7.506867095,6.06E-14,7.04E-12
ENSG00000170214,201.7510002,3.676797447,0.492201679,7.470103426,8.01E-14,9.24E-12
ENSG00000169744,723.0140268,-1.33060632,0.178688758,-7.446502689,9.58E-14,1.10E-11
ENSG00000131871,812.4246868,0.674896532,0.090839939,7.429513256,1.09E-13,1.24E-11
ENSG00000147119,456.9514007,1.572882461,0.211884456,7.423302748,1.14E-13,1.29E-11
ENSG00000148848,1381.852701,-1.869913398,0.252168412,-7.415335581,1.21E-13,1.36E-11
ENSG00000020577,3148.941229,1.21223081,0.164183174,7.383404666,1.54E-13,1.72E-11
ENSG00000196932,76.83905188,-2.001295697,0.271159115,-7.380521575,1.58E-13,1.74E-11
ENSG00000138074,455.6405054,1.163839434,0.158023204,7.364990721,1.77E-13,1.94E-11
ENSG00000146006,70.63099895,-4.003769807,0.544200832,-7.357154879,1.88E-13,2.03E-11
ENSG00000174306,3453.200287,1.107066554,0.150476827,7.357056751,1.88E-13,2.03E-11
ENSG00000042286,599.8099585,0.713436857,0.097272291,7.334430525,2.23E-13,2.39E-11
ENSG00000164105,538.3557068,1.208546079,0.165294001,7.31149387,2.64E-13,2.81E-11
ENSG00000067369,2102.969453,-0.714245582,0.09779274,-7.303666707,2.80E-13,2.96E-11
ENSG00000116132,5567.240774,-0.758688039,0.104333654,-7.271747996,3.55E-13,3.73E-11
ENSG00000277443,5819.240051,-1.230130883,0.169725665,-7.247759983,4.24E-13,4.42E-11
ENSG00000087448,1029.529321,1.03300404,0.142733879,7.237272929,4.58E-13,4.75E-11
ENSG00000114270,1600.165436,1.287445968,0.178159967,7.226348274,4.96E-13,5.11E-11
ENSG00000134318,4532.90173,0.782466599,0.108332526,7.222822405,5.09E-13,5.21E-11
ENSG00000108960,1740.197983,1.654343018,0.230185964,7.186984764,6.62E-13,6.73E-11
ENSG00000165802,1607.021232,0.973405919,0.136308985,7.141172064,9.25E-13,9.34E-11
ENSG00000233608,4677.101194,0.731218154,0.102677742,7.121486469,1.07E-12,1.07E-10
ENSG00000155962,399.7733011,-1.12228485,0.157733669,-7.11506208,1.12E-12,1.11E-10
ENSG00000172465,451.8476872,1.011719382,0.142957784,7.077049995,1.47E-12,1.46E-10
ENSG00000170365,440.5675102,-1.01000995,0.142872291,-7.06932005,1.56E-12,1.53E-10
ENSG00000188215,583.0910584,0.683820804,0.096772878,7.066244354,1.59E-12,1.56E-10
ENSG00000143344,1081.296068,-1.066167681,0.1512748,-7.047886886,1.82E-12,1.76E-10
ENSG00000125848,184.7255517,-2.47079494,0.351171916,-7.035855745,1.98E-12,1.91E-10
ENSG00000183508,90.30525293,-2.506810608,0.356655034,-7.028670201,2.09E-12,2.00E-10
ENSG00000171793,696.2304815,1.632722493,0.232541395,7.021212252,2.20E-12,2.10E-10
ENSG00000099204,852.7382148,1.432677272,0.204554926,7.003875693,2.49E-12,2.36E-10
ENSG00000084090,3687.606563,1.222085267,0.174603918,6.999185837,2.57E-12,2.41E-10
ENSG00000157152,39.34072293,2.761609455,0.394566527,6.999097148,2.58E-12,2.41E-10
ENSG00000108604,2187.267592,1.294531887,0.18508866,6.994117795,2.67E-12,2.47E-10
ENSG00000185813,542.652955,1.067349225,0.152594191,6.994691075,2.66E-12,2.47E-10
ENSG00000177674,764.4749811,1.135978251,0.162673875,6.983163419,2.89E-12,2.65E-10
ENSG00000093167,2143.347608,0.693337777,0.099465252,6.970653215,3.15E-12,2.88E-10
ENSG00000173517,8182.695757,1.01731427,0.145966687,6.969496217,3.18E-12,2.89E-10
ENSG00000108830,207.1115317,-2.149870748,0.308770952,-6.962671629,3.34E-12,3.01E-10
ENSG00000182197,5315.487961,-0.800350765,0.114984488,-6.960510745,3.39E-12,3.04E-10
ENSG00000143878,3361.81676,1.214477192,0.174618996,6.955011899,3.53E-12,3.14E-10
ENSG00000173221,1867.422089,1.056186808,0.152023244,6.947534993,3.72E-12,3.30E-10
ENSG00000071282,4091.279938,1.595689411,0.229955715,6.939116124,3.95E-12,3.48E-10
ENSG00000145685,2024.860561,-1.170633179,0.168800148,-6.935024595,4.06E-12,3.56E-10
ENSG00000105835,2566.881384,0.982053497,0.141918102,6.919860711,4.52E-12,3.94E-10
ENSG00000136997,749.9414786,0.863799472,0.125458617,6.885134657,5.77E-12,5.00E-10
ENSG00000137801,94530.91094,1.866924086,0.271561437,6.874776124,6.21E-12,5.35E-10
ENSG00000137767,2380.766141,1.017307852,0.148302413,6.859685088,6.90E-12,5.91E-10
ENSG00000163083,425.1148766,3.668031087,0.535242653,6.853024633,7.23E-12,6.14E-10
ENSG00000205208,599.12472,-1.364534365,0.199125381,-6.852639078,7.25E-12,6.14E-10
ENSG00000165996,290.6532936,1.061978824,0.155553472,6.827098164,8.66E-12,7.30E-10
ENSG00000196569,18064.36643,2.063652073,0.302361838,6.825107583,8.79E-12,7.37E-10
ENSG00000114098,986.0262241,1.03515641,0.15176729,6.820681934,9.06E-12,7.55E-10
ENSG00000103381,788.6475668,0.976225513,0.143206597,6.816903249,9.30E-12,7.71E-10
ENSG00000100242,3905.31286,1.702114621,0.251983428,6.754867304,1.43E-11,1.18E-09
ENSG00000159840,9428.646625,0.712835991,0.105583744,6.751380138,1.46E-11,1.20E-09
ENSG00000114853,2770.851957,0.732052563,0.108582952,6.74187386,1.56E-11,1.28E-09
ENSG00000068831,92.80189491,1.736195486,0.257666667,6.738145478,1.60E-11,1.30E-09
ENSG00000189184,6553.75163,-0.900224375,0.133927291,-6.721739601,1.80E-11,1.45E-09
ENSG00000136877,1049.719231,0.685115183,0.102094313,6.710610671,1.94E-11,1.56E-09
ENSG00000106615,2235.488548,0.999193924,0.149048434,6.703820338,2.03E-11,1.62E-09
ENSG00000163661,9918.01911,2.235420974,0.333562888,6.701647735,2.06E-11,1.64E-09
ENSG00000107562,27826.65301,-1.883420909,0.281134079,-6.699368919,2.09E-11,1.66E-09
ENSG00000132530,554.0704367,-0.942293542,0.141156286,-6.675533699,2.46E-11,1.94E-09
ENSG00000137672,647.5029968,1.800389311,0.269906726,6.670412924,2.55E-11,2.00E-09
ENSG00000127954,524.0733003,4.947298144,0.742089798,6.666710896,2.62E-11,2.04E-09
ENSG00000124151,1617.040295,1.351223384,0.203022897,6.65552214,2.82E-11,2.19E-09
ENSG00000185022,640.3699108,1.27087578,0.1911267,6.649389006,2.94E-11,2.27E-09
ENSG00000158079,310.6470323,0.96506512,0.145507967,6.632386821,3.30E-11,2.53E-09
ENSG00000099337,903.3094963,2.395620814,0.361465574,6.627521361,3.41E-11,2.61E-09
ENSG00000163378,1766.414162,1.288491673,0.194582606,6.621823505,3.55E-11,2.69E-09
ENSG00000164291,491.6802756,0.774374618,0.117074715,6.614362615,3.73E-11,2.82E-09
ENSG00000128342,154.2762857,-2.330915057,0.352898508,-6.605057839,3.97E-11,2.99E-09
ENSG00000141298,2097.022674,1.172517184,0.177717908,6.597631021,4.18E-11,3.13E-09
ENSG00000172349,898.1267519,1.033155982,0.156707141,6.592909394,4.31E-11,3.21E-09
ENSG00000093144,1547.107066,0.792990562,0.120308312,6.591319826,4.36E-11,3.23E-09
ENSG00000070669,426.907097,-1.020410525,0.155014943,-6.582659093,4.62E-11,3.39E-09
ENSG00000091527,4909.370665,0.730988748,0.111041686,6.583011981,4.61E-11,3.39E-09
ENSG00000168994,1583.109921,1.424906725,0.216678696,6.576127476,4.83E-11,3.53E-09
ENSG00000126861,312.2422174,-1.694565437,0.258199757,-6.563001668,5.27E-11,3.83E-09
ENSG00000188312,133.729682,-1.746375311,0.266821936,-6.545096467,5.95E-11,4.30E-09
ENSG00000120690,1426.821864,0.845917216,0.129507395,6.531806273,6.50E-11,4.68E-09
ENSG00000023909,1934.522313,1.256850539,0.192554157,6.527257356,6.70E-11,4.80E-09
ENSG00000174437,10623.88251,1.353600059,0.207569952,6.521175356,6.98E-11,4.98E-09
ENSG00000049246,241.5031652,-1.930100257,0.297229583,-6.493634442,8.38E-11,5.95E-09
ENSG00000136859,6504.120837,-0.895177073,0.138065452,-6.483715221,8.95E-11,6.33E-09
ENSG00000112658,1320.566859,0.956874797,0.147609431,6.482477379,9.02E-11,6.35E-09
ENSG00000172831,1320.823335,-0.559672381,0.086411144,-6.476854233,9.37E-11,6.56E-09
ENSG00000088888,2939.451972,0.617731811,0.095783089,6.449278438,1.12E-10,7.84E-09
ENSG00000130513,476.2218605,-1.965700493,0.304979829,-6.445345901,1.15E-10,8.01E-09
ENSG00000177614,155.082822,-2.58805672,0.401722649,-6.442396822,1.18E-10,8.13E-09
ENSG00000009413,8391.068889,0.969287576,0.150655685,6.433793563,1.24E-10,8.56E-09
ENSG00000172403,9228.925248,1.717496019,0.267277093,6.42590055,1.31E-10,8.98E-09
ENSG00000182552,1076.427658,1.089011901,0.169491837,6.425158392,1.32E-10,8.98E-09
ENSG00000067082,3251.072694,1.003058814,0.156376035,6.414402382,1.41E-10,9.60E-09
ENSG00000107338,346.3172731,-0.930897231,0.145155699,-6.413094633,1.43E-10,9.64E-09
ENSG00000124702,1042.623853,0.628585445,0.09811085,6.406890249,1.49E-10,9.99E-09
ENSG00000107968,518.4178693,1.045862027,0.1635409,6.395109907,1.60E-10,1.07E-08
ENSG00000154767,1862.384097,-0.58228938,0.091095238,-6.392094581,1.64E-10,1.09E-08
ENSG00000205978,1619.019854,-1.149933922,0.180076205,-6.385818295,1.70E-10,1.13E-08
ENSG00000113719,6880.157368,0.779903944,0.122338941,6.374944353,1.83E-10,1.21E-08
ENSG00000243244,1803.387257,1.369281282,0.215300886,6.359849746,2.02E-10,1.33E-08
ENSG00000128699,1837.307415,1.041450686,0.164160108,6.344115493,2.24E-10,1.47E-08
ENSG00000172939,1236.30438,0.47704349,0.075269333,6.337820118,2.33E-10,1.52E-08
ENSG00000214814,258.6680738,-3.094241699,0.488441417,-6.334929005,2.37E-10,1.54E-08
ENSG00000214944,635.2157138,1.086373562,0.171541809,6.332995834,2.40E-10,1.56E-08
ENSG00000083290,1549.361241,1.221160508,0.193110956,6.323621067,2.56E-10,1.65E-08
ENSG00000164294,3507.759869,-0.48881801,0.077314368,-6.322473094,2.57E-10,1.65E-08
ENSG00000100033,55.02149855,3.943507692,0.624099701,6.318714279,2.64E-10,1.69E-08
ENSG00000072210,956.2390563,-1.069320555,0.169403225,-6.312279811,2.75E-10,1.75E-08
ENSG00000168917,252.590791,0.822839265,0.130444048,6.307986304,2.83E-10,1.79E-08
ENSG00000132155,2894.664885,0.824731096,0.130795202,6.305514925,2.87E-10,1.81E-08
ENSG00000241553,2036.793935,0.489389201,0.078274675,6.252203568,4.05E-10,2.54E-08
ENSG00000168398,6175.181612,-1.964389489,0.314308883,-6.249869464,4.11E-10,2.57E-08
ENSG00000079691,1515.598227,1.170118304,0.187588792,6.237677065,4.44E-10,2.77E-08
ENSG00000113916,1870.619409,0.842855009,0.135384699,6.225629747,4.80E-10,2.98E-08
ENSG00000196616,44782.25956,1.079724086,0.173557456,6.221133393,4.94E-10,3.05E-08
ENSG00000131446,5557.410236,0.852623401,0.137172361,6.21570845,5.11E-10,3.15E-08
ENSG00000279232,395.5042775,-0.939639402,0.151191679,-6.214888327,5.14E-10,3.15E-08
ENSG00000175130,628.1093589,-1.110418085,0.178861274,-6.208264417,5.36E-10,3.26E-08
ENSG00000175482,693.7861009,0.880371347,0.141808239,6.208181925,5.36E-10,3.26E-08
ENSG00000091136,31518.61365,0.833875314,0.134476982,6.200877683,5.61E-10,3.40E-08
ENSG00000143507,326.2685891,-1.281781745,0.206820858,-6.197545835,5.74E-10,3.46E-08
ENSG00000146122,2629.507795,1.642774545,0.265229789,6.193778432,5.87E-10,3.53E-08
ENSG00000182010,120.2200132,-1.754113417,0.283425612,-6.188972842,6.06E-10,3.63E-08
ENSG00000168309,170.4063866,4.059032702,0.657439058,6.174006025,6.66E-10,3.97E-08
ENSG00000173068,2841.637431,-0.965115309,0.15647266,-6.167948495,6.92E-10,4.11E-08
ENSG00000168890,502.5878974,0.924375844,0.150146296,6.156501148,7.44E-10,4.41E-08
ENSG00000033867,2356.633218,-1.021872981,0.166030257,-6.154739482,7.52E-10,4.44E-08
ENSG00000182718,25337.57368,0.674664319,0.109775466,6.145857035,7.95E-10,4.67E-08
ENSG00000128165,61.39187071,-2.699480285,0.439437954,-6.143029438,8.10E-10,4.74E-08
ENSG00000100784,180.1905585,-1.816040235,0.295690683,-6.141689066,8.16E-10,4.76E-08
ENSG00000183726,2553.962589,0.711532579,0.11594296,6.136919241,8.41E-10,4.89E-08
ENSG00000119508,218.387703,2.082586659,0.33954162,6.133523954,8.60E-10,4.98E-08
ENSG00000124496,484.0605385,-0.780526764,0.127296257,-6.131576699,8.70E-10,5.02E-08
ENSG00000119714,61.54814776,-3.102148163,0.505993516,-6.130806151,8.74E-10,5.02E-08
ENSG00000165272,140.1664877,-2.944712753,0.4805812,-6.12739897,8.93E-10,5.11E-08
ENSG00000277196,36.19013026,7.246813334,1.18427529,6.119196606,9.40E-10,5.36E-08
ENSG00000196507,1019.36101,1.078802778,0.176391931,6.115941784,9.60E-10,5.45E-08
ENSG00000196850,525.4087358,1.210967099,0.19810707,6.112689957,9.80E-10,5.55E-08
ENSG00000154930,672.6115117,1.869680182,0.305981518,6.110435008,9.94E-10,5.60E-08
ENSG00000140105,2847.98843,-1.385330695,0.227583727,-6.087125445,1.15E-09,6.44E-08
ENSG00000167641,239.9099104,2.798612106,0.459750322,6.087243387,1.15E-09,6.44E-08
ENSG00000064115,1485.994311,0.980617075,0.161311822,6.079015572,1.21E-09,6.75E-08
ENSG00000066322,1037.616909,0.495159613,0.081557502,6.071294469,1.27E-09,7.05E-08
ENSG00000132622,66.59737673,-2.362530262,0.389451582,-6.066300332,1.31E-09,7.25E-08
ENSG00000100994,3076.649394,0.632510557,0.104406484,6.058153976,1.38E-09,7.60E-08
ENSG00000114450,2051.248463,0.949064828,0.156728877,6.055456057,1.40E-09,7.69E-08
ENSG00000164104,1072.429046,1.257884677,0.207742739,6.055011508,1.40E-09,7.69E-08
ENSG00000198189,1532.369705,0.709488282,0.117237553,6.051715223,1.43E-09,7.82E-08
ENSG00000176974,155.4502188,1.095281439,0.181276429,6.042051048,1.52E-09,8.28E-08
ENSG00000111728,205.0859154,-1.383944679,0.229081308,-6.041281537,1.53E-09,8.29E-08
ENSG00000013297,3473.516612,-1.649572858,0.273177505,-6.038465192,1.56E-09,8.40E-08
ENSG00000260914,558.7480849,0.57031576,0.094599515,6.028738708,1.65E-09,8.89E-08
ENSG00000137266,215.367387,-1.285226857,0.21323566,-6.02726043,1.67E-09,8.95E-08
ENSG00000116962,9623.145789,1.570863785,0.260678898,6.026048894,1.68E-09,8.98E-08
ENSG00000161813,1039.366158,0.80312036,0.133532993,6.014396467,1.81E-09,9.62E-08
ENSG00000008311,714.9263221,1.13782475,0.189240334,6.012591112,1.83E-09,9.69E-08
ENSG00000213639,4844.059335,0.939670353,0.157635227,5.961042919,2.51E-09,1.33E-07
ENSG00000117143,1603.240689,0.641094385,0.107590103,5.958674333,2.54E-09,1.34E-07
ENSG00000100626,539.0653385,-0.88975057,0.149550013,-5.94951852,2.69E-09,1.41E-07
